나주시,계,107762,53182,54580
여천시,계,75883,38812,37071
광양시,계,122035,62579,59456
담양군,계,60972,30547,30425
곡성군,계,41011,19873,21138
구례군,계,34233,16644,17589
여천군,계,54619,27085,27534
고흥군,계,100874,48760,52114
보성군,계,65632,31621,34011
화순군,계,63772,31328,32444
장흥군,계,52189,24777,27412
강진군,계,49142,23340,25802
해남군,계,96123,46913,49210
영암군,계,55345,26789,28556
무안군,계,67747,33123,34624
함평군,계,48350,23427,24923
영광군,계,68619,33713,34906
장성군,계,52140,25606,26534
완도군,계,64757,32042,32715
진도군,계,42367,20266,22101
신안군,계,62470,31707,30763
포항시,계,508627,259163,249464
포항시남구,계,262916,135282,127634
포항시북구,계,245711,123881,121830
경주시,계,273733,136721,137012
김천시,계,146923,72806,74117
안동시,계,188364,93382,94982
구미시,계,309968,157160,152808
영주시,계,131039,65641,65398
영천시,계,113303,55965,57338
상주시,계,124094,61220,62874
문경시,계,92204,45828,46376
경산시,계,173155,86883,86272
군위군,계,29655,14430,15225
의성군,계,77328,37507,39821
청송군,계,35053,17496,17557
영양군,계,23765,11738,12027
영덕군,계,51288,24335,26953
청도군,계,50256,23828,26428
고령군,계,31548,15348,16200
성주군,계,47990,23233,24757
칠곡군,계,83028,41792,41236
예천군,계,62500,30315,32185
봉화군,계,42960,21170,21790
울진군,계,64411,31925,32486
울릉군,계,11306,5873,5433
창원시,계,480433,247213,233220
울산시,계,966628,500192,466436
울산시중구,계,285414,148641,136773
울산시남구,계,304488,157832,146656
울산시동구,계,191733,100219,91514
울산시울주군,계,184993,93500,91493
마산시,계,441030,219704,221326
마산시합포구,계,215641,107405,108236
마산시회원구,계,225389,112299,113090
진주시,계,329771,162851,166920
진해시,계,125805,63000,62805
통영시,계,131694,65427,66267
사천시,계,113475,55843,57632
김해시,계,255641,128390,127251
밀양시,계,121409,59505,61904
거제시,계,147484,76732,70752
의령군,계,37681,18092,19589
함안군,계,60274,29242,31032
창녕군,계,71260,34304,36956
양산군,계,163049,81513,81536
고성군,계,60453,29041,31412
남해군,계,60170,28316,31854
하동군,계,55378,26432,28946
산청군,계,43448,21208,22240
함양군,계,44746,21171,23575
거창군,계,70071,34329,35742
합천군,계,61653,29623,32030
제주시,계,258307,127598,130709
서귀포시,계,82241,40695,41546
북제주군,계,88726,43167,45559
남제주군,계,75821,37494,38327
