sd,sgg,sd_code,sgg_code
seoul,jongno,11,11010
seoul,jung,11,11020
seoul,yongsan,11,11030
seoul,seongdong,11,11040
seoul,gwangjin,11,11050
seoul,dongdaemun,11,11060
seoul,jungnang,11,11070
seoul,seongbuk,11,11080
seoul,gangbuk,11,11090
seoul,dobong,11,11100
seoul,nowon,11,11110
seoul,eunpyeong,11,11120
seoul,seodaemun,11,11130
seoul,mapo,11,11140
seoul,yangcheon,11,11150
seoul,gangseo,11,11160
seoul,guro,11,11170
seoul,geumcheon,11,11180
seoul,yeongdeungpo,11,11190
seoul,dongjak,11,11200
seoul,gwanak,11,11210
seoul,seocho,11,11220
seoul,gangnam,11,11230
seoul,songpa,11,11240
seoul,gangdong,11,11250
busan,jung,21,21010
busan,seo,21,21020
busan,dong,21,21030
busan,yeongdo,21,21040
busan,busanjin,21,21050
busan,dongnae,21,21060
busan,nam,21,21070
busan,buk,21,21080
busan,haeundae,21,21090
busan,saha,21,21100
busan,geumjeong,21,21110
busan,gangseo,21,21120
busan,yeonje,21,21130
busan,suyeong,21,21140
busan,sasang,21,21150
busan,gijang,21,21310
daegu,jung,22,22010
daegu,dong,22,22020
daegu,seo,22,22030
daegu,nam,22,22040
daegu,buk,22,22050
daegu,suseong,22,22060
daegu,dalseo,22,22070
daegu,dalseong,22,22310
incheon,jung,23,23010
incheon,dong,23,23020
incheon,nam,23,23030
incheon,yeonsu,23,23040
incheon,namdong,23,23050
incheon,bupyeong,23,23060
incheon,gyeyang,23,23070
incheon,seo,23,23080
incheon,ganghwa,23,23310
incheon,ongjin,23,23320
gwangju,dong,24,24010
gwangju,seo,24,24020
gwangju,nam,24,24030
gwangju,buk,24,24040
gwangju,gwangsan,24,24050
daejeon,dong,25,25010
daejeon,jung,25,25020
daejeon,seo,25,25030
daejeon,yuseong,25,25040
daejeon,daedeok,25,25050
ulsan,jung,26,26010
ulsan,nam,26,26020
ulsan,dong,26,26030
ulsan,buk,26,26040
ulsan,ulju,26,26310
gyeonggi,suwon jangan,31,31011
gyeonggi,suwon gwonseon,31,31012
gyeonggi,suwon paldal,31,31013
gyeonggi,seongnam sujeong,31,31021
gyeonggi,seongnam jungwon,31,31022
gyeonggi,seongnam bundang,31,31023
gyeonggi,uijeongbu,31,31030
gyeonggi,anyang manan,31,31041
gyeonggi,anyang dongan,31,31042
gyeonggi,bucheon wonmi,31,31051
gyeonggi,bucheon sosa,31,31052
gyeonggi,bucheon ojeong,31,31053
gyeonggi,gwangmyeong,31,31060
gyeonggi,pyeongtaek,31,31070
gyeonggi,dongducheon,31,31080
gyeonggi,ansan,31,31090
gyeonggi,deogyang,31,31101
gyeonggi,ilsan,31,31102
gyeonggi,gwacheon,31,31110
gyeonggi,guri,31,31120
gyeonggi,namyangju,31,31130
gyeonggi,osan,31,31140
gyeonggi,siheung,31,31150
gyeonggi,gunpo,31,31160
gyeonggi,uiwang,31,31170
gyeonggi,hanam,31,31180
gyeonggi,yongin,31,31190
gyeonggi,paju,31,31200
gyeonggi,icheon,31,31210
gyeonggi,anseong,31,31220
gyeonggi,gimpo,31,31230
gyeonggi,yangju,31,31310
gyeonggi,yeoju,31,31320
gyeonggi,hwaseong,31,31330
gyeonggi,gwangju,31,31340
gyeonggi,yeoncheon,31,31350
gyeonggi,pocheon,31,31360
gyeonggi,gapyeong,31,31370
gyeonggi,yangpyeong,31,31380
gangwon,chuncheon,32,32010
gangwon,wonju,32,32020
gangwon,gangneung,32,32030
gangwon,donghae,32,32040
gangwon,taebaek,32,32050
gangwon,sokcho,32,32060
gangwon,samcheok,32,32070
gangwon,hongcheon,32,32310
gangwon,hoengseong,32,32320
gangwon,yeongwol,32,32330
gangwon,pyeongchang,32,32340
gangwon,jeongseon,32,32350
gangwon,cheorwon,32,32360
gangwon,hwacheon,32,32370
gangwon,yanggu,32,32380
gangwon,inje,32,32390
gangwon,goseong,32,32400
gangwon,yangyang,32,32410
chungbuk,sangdang,33,33011
chungbuk,heungdeok,33,33012
chungbuk,chungju,33,33020
chungbuk,jecheon,33,33030
chungbuk,cheongwon,33,33310
chungbuk,boeun,33,33320
chungbuk,okcheon,33,33330
chungbuk,yeongdong,33,33340
chungbuk,jincheon,33,33350
chungbuk,goesan,33,33360
chungbuk,eumseong,33,33370
chungbuk,danyang,33,33380
chungbuk,jeungpyeong branch,33,33390
chungnam,cheonan,34,34010
chungnam,gongju,34,34020
chungnam,boryeong,34,34030
chungnam,asan,34,34040
chungnam,seosan,34,34050
chungnam,nonsan,34,34060
chungnam,geumsan,34,34310
chungnam,yeongi,34,34320
chungnam,buyeo,34,34330
chungnam,seocheon,34,34340
chungnam,cheongyang,34,34350
chungnam,hongseong,34,34360
chungnam,yesan,34,34370
chungnam,taean,34,34380
chungnam,dangjin,34,34390
chungnam,gyeryong,34,34400
jeonbuk,wansan,35,35011
jeonbuk,deokjin,35,35012
jeonbuk,gunsan,35,35020
jeonbuk,iksan,35,35030
jeonbuk,jeongeup,35,35040
jeonbuk,namwon,35,35050
jeonbuk,gimje,35,35060
jeonbuk,wanju,35,35310
jeonbuk,jinan,35,35320
jeonbuk,muju,35,35330
jeonbuk,jangsu,35,35340
jeonbuk,imsil,35,35350
jeonbuk,sunchang,35,35360
jeonbuk,gochang,35,35370
jeonbuk,buan,35,35380
jeonnam,mokpo,36,36010
jeonnam,yeosu,36,36020
jeonnam,suncheon,36,36030
jeonnam,naju,36,36040
jeonnam,gwangyang,36,36060
jeonnam,damyang,36,36310
jeonnam,gokseong,36,36320
jeonnam,gurye,36,36330
jeonnam,goheung,36,36350
jeonnam,boseong,36,36360
jeonnam,hwasun,36,36370
jeonnam,jangheung,36,36380
jeonnam,gangjin,36,36390
jeonnam,haenam,36,36400
jeonnam,yeongam,36,36410
jeonnam,muan,36,36420
jeonnam,hampyeong,36,36430
jeonnam,yeonggwang,36,36440
jeonnam,jangseong,36,36450
jeonnam,wando,36,36460
jeonnam,jindo,36,36470
jeonnam,sinan,36,36480
gyeongbuk,pohang nam,37,37011
gyeongbuk,pohang buk,37,37012
gyeongbuk,gyeongju,37,37020
gyeongbuk,gimcheon,37,37030
gyeongbuk,andong,37,37040
gyeongbuk,gumi,37,37050
gyeongbuk,yeongju,37,37060
gyeongbuk,yeongcheon,37,37070
gyeongbuk,sangju,37,37080
gyeongbuk,mungyeong,37,37090
gyeongbuk,gyeongsan,37,37100
gyeongbuk,gunwi,37,37310
gyeongbuk,uiseong,37,37320
gyeongbuk,cheongsong,37,37330
gyeongbuk,yeongyang,37,37340
gyeongbuk,yeongdeok,37,37350
gyeongbuk,cheongdo,37,37360
gyeongbuk,goryeong,37,37370
gyeongbuk,seongju,37,37380
gyeongbuk,chilgok,37,37390
gyeongbuk,yecheon,37,37400
gyeongbuk,bonghwa,37,37410
gyeongbuk,uljin,37,37420
gyeongbuk,ulleung,37,37430
gyeongnam,changwon,38,38010
gyeongnam,happo,38,38021
gyeongnam,hoewon,38,38022
gyeongnam,jinju,38,38030
gyeongnam,jinhae,38,38040
gyeongnam,tongyeong,38,38050
gyeongnam,sacheon,38,38060
gyeongnam,gimhae,38,38070
gyeongnam,miryang,38,38080
gyeongnam,geoje,38,38090
gyeongnam,yangsan,38,38100
gyeongnam,uiryeong,38,38310
gyeongnam,haman,38,38320
gyeongnam,changnyeong,38,38330
gyeongnam,goseong,38,38340
gyeongnam,namhae,38,38350
gyeongnam,hadong,38,38360
gyeongnam,sancheong,38,38370
gyeongnam,hamyang,38,38380
gyeongnam,geochang,38,38390
gyeongnam,hapcheon,38,38400
jeju,jeju,39,39010
jeju,seogwipo,39,39020
jeju,bukjeju,39,39310
jeju,namjeju,39,39320
