year,sd_nm,sd_cd,sgg_nm_kr,sgg_cd,sgg_nm_en,tot,men,women
2015,gyeonggi,31,광명시,31060,gwangmyeong,"331,385","164,143","167,242"
2015,gyeonggi,31,평택시,31070,pyeongtaek,"435,212","222,454","212,758"
2015,gyeonggi,31,동두천시,31080,dongducheon,"93,562","46,598","46,964"
2015,gyeonggi,31,안산시상록구,31091,ansan sangnok,"371,336","188,823","182,513"
2015,gyeonggi,31,안산시단원구,31092,ansan danwon,"311,455","160,162","151,293"
2015,gyeonggi,31,고양시덕양구,31101,ilsan deogyang,"418,950","207,790","211,160"
2015,gyeonggi,31,고양시일산동구,31103,ilsan dong,"272,149","132,386","139,763"
2015,gyeonggi,31,고양시일산서구,31104,ilsan seo,"282,625","137,460","145,165"
2015,gyeonggi,31,과천시,31110,gwacheon,"64,317","31,328","32,989"
2015,gyeonggi,31,구리시,31120,guri,"178,318","88,480","89,838"
2015,gyeonggi,31,남양주시,31130,namyangju,"621,249","309,680","311,569"
2015,gyeonggi,31,오산시,31140,osan,"204,144","104,759","99,385"
2015,gyeonggi,31,시흥시,31150,siheung,"388,177","203,843","184,334"
2015,gyeonggi,31,군포시,31160,gunpo,"277,084","137,504","139,580"
2015,gyeonggi,31,의왕시,31170,uiwang,"153,043","76,296","76,747"
2015,gyeonggi,31,하남시,31180,hanam,"152,621","77,048","75,573"
2015,gyeonggi,31,용인시처인구,31191,yongin cheoin,"221,020","113,514","107,506"
2015,gyeonggi,31,용인시기흥구,31192,yongin giheung,"400,597","198,850","201,747"
2015,gyeonggi,31,용인시수지구,31193,yongin suji,"328,168","160,829","167,339"
2015,gyeonggi,31,파주시,31200,paju,"402,454","203,874","198,580"
2015,gyeonggi,31,이천시,31210,icheon,"201,319","101,755","99,564"
2015,gyeonggi,31,안성시,31220,anseong,"182,964","93,182","89,782"
2015,gyeonggi,31,김포시,31230,gimpo,"332,207","166,182","166,025"
2015,gyeonggi,31,화성시,31240,hwaseong,"567,398","291,767","275,631"
2015,gyeonggi,31,광주시,31250,gwangju,"296,067","151,304","144,763"
2015,gyeonggi,31,양주시,31260,yangju,"196,260","98,971","97,289"
2015,gyeonggi,31,포천시,31270,pocheon,"147,206","76,168","71,038"
2015,gyeonggi,31,여주시,31280,yeoju,"106,021","53,295","52,726"
2015,gyeonggi,31,연천군,31350,yeoncheon,"42,671","22,106","20,565"
2015,gyeonggi,31,가평군,31370,gapyeong,"57,614","29,356","28,258"
2015,gyeonggi,31,양평군,31380,yangpyeong,"100,002","50,388","49,614"
2015,gangwon,32,춘천시,32010,chuncheon,"278,014","136,922","141,092"
2015,gangwon,32,원주시,32020,wonju,"327,172","163,509","163,663"
2015,gangwon,32,강릉시,32030,gangneung,"213,553","107,504","106,049"
2015,gangwon,32,동해시,32040,donghae,"89,490","45,302","44,188"
2015,gangwon,32,태백시,32050,taebaek,"46,400","23,580","22,820"
2015,gangwon,32,속초시,32060,sokcho,"78,682","38,792","39,890"
2015,gangwon,32,삼척시,32070,samcheok,"68,784","35,551","33,233"
2015,gangwon,32,홍천군,32310,hongcheon,"66,126","33,668","32,458"
